DateTime,Date,Time,Month,Year,Day of Week,Hour,Accident Location,PCF Description,PCF Category,Involved Objects,Party at Fault,Suspected Serious Injury,Suspected Minor Injury,Suspected Possible Injury,Injury Severity,ObjectId,x,y
5/16/2019 3:00:00 AM,2019-05-15,20:00:00,5,2019,2.0,20,Derby Street & Telegraph Avenue,VC 23152(a): Driving under the influence of alcohol,"Alcohol, DUI, Drug Offenses","1 Truck, 1 Car",Driver,0,0,0,No Injury,8027,-13609815.3973092,4559862.19513151
1/12/2018 8:10:00 PM,2018-01-12,12:10:00,1,2018,4.0,12,Derby Street & Telegraph Avenue,VC 22107: Unsafe turning or moving of vehicle on roadway,"Turning, Starting, Signaling","1 Bicycle, 1 Car",Driver,0,0,0,Unspecified Injury,8028,-13609815.3973092,4559862.19513151
7/24/2018 8:21:00 PM,2018-07-24,13:21:00,7,2018,1.0,13,Derby Street & Telegraph Avenue,VC 21453(a): Failure to stop at red light or stop line,"Signs, Signals, Markings",2 Truck,Driver,0,0,0,No Injury,8029,-13609815.3973092,4559862.19513151
12/31/2018 7:21:00 PM,2018-12-31,11:21:00,12,2018,0.0,11,Derby Street & Telegraph Avenue,VC 21453(a): Failure to stop at red light or stop line,"Signs, Signals, Markings",2 Car,Driver,0,0,0,Unspecified Injury,8030,-13609815.3973092,4559862.19513151
12/14/2017 9:56:00 PM,2017-12-14,13:56:00,12,2017,3.0,13,Derby Street & Telegraph Avenue,VC 21453(a): Failure to stop at red light or stop line,"Signs, Signals, Markings","1 Motorcycle, 1 Car",Driver,0,0,0,Unspecified Injury,8031,-13609815.3973092,4559862.19513151
10/12/2016 10:05:00 PM,2016-10-12,15:05:00,10,2016,2.0,15,Derby Street & Telegraph Avenue,VC 22107: Unsafe turning or moving of vehicle on roadway,"Turning, Starting, Signaling",2 Car,Driver,0,0,0,Unspecified Injury,8032,-13609815.3973092,4559862.19513151
9/26/2016 12:55:00 AM,2016-09-25,17:55:00,9,2016,6.0,17,Derby Street & Telegraph Avenue,VC 22350: Unsafe speed for prevailing conditions,Speed Laws,"1 Bicycle, 1 Car",Driver,0,0,0,Unspecified Injury,8033,-13609815.3973092,4559862.19513151
6/2/2016 8:22:00 PM,2016-06-02,13:22:00,6,2016,3.0,13,Derby Street & Telegraph Avenue,VC 21453(a): Failure to stop at red light or stop line,"Signs, Signals, Markings",2 Car,Driver,0,0,0,Unspecified Injury,8034,-13609815.3973092,4559862.19513151
9/21/2015 2:03:00 PM,2015-09-21,07:03:00,9,2015,0.0,7,Derby Street & Telegraph Avenue,VC 21453(a): Failure to stop at red light or stop line,"Signs, Signals, Markings","1 Motorcycle, 1 Car",Driver,0,0,0,Unspecified Injury,8035,-13609815.3973092,4559862.19513151
12/22/2014 2:54:00 PM,2014-12-22,06:54:00,12,2014,0.0,6,Derby Street & Telegraph Avenue,VC 21801(b): Failure to yield to left-turning vehicle,Right of Way,"1 Motorcycle, 1 Car",Driver,0,0,0,Unspecified Injury,8036,-13609815.3973092,4559862.19513151
8/4/2013 6:24:00 PM,2013-08-04,11:24:00,8,2013,6.0,11,Derby Street & Telegraph Avenue,Unknown / Not Stated,Other,"1 Bicycle, 1 Car",Other,0,0,0,Unspecified Injury,8037,-13609815.3973092,4559862.19513151
4/25/2012 12:12:00 AM,2012-04-24,17:12:00,4,2012,1.0,17,Derby Street & Telegraph Avenue,VC 22350: Unsafe speed for prevailing conditions,Speed Laws,3 Car,Driver,0,0,0,Unspecified Injury,8038,-13609815.3973092,4559862.19513151
3/8/2011 7:33:00 PM,2011-03-08,11:33:00,3,2011,1.0,11,Derby Street & Telegraph Avenue,VC 21453(a): Failure to stop at red light or stop line,"Signs, Signals, Markings",1 Pedestrian,Driver,0,0,0,Unspecified Injury,8039,-13609815.3973092,4559862.19513151
4/23/2023 4:33:00 AM,2023-04-22,21:33:00,4,2023,5.0,21,Derby Street & Telegraph Avenue,VC 22350: Unsafe speed for prevailing conditions,Speed Laws,2 Car,Driver,0,0,1,Possible Injury,8040,-13609815.3973092,4559862.19513151
2/16/2024 5:28:00 AM,2024-02-15,21:28:00,2,2024,3.0,21,Derby Street & Telegraph Avenue,VC 22106: Unsafe starting or backing of vehicle on highway,"Turning, Starting, Signaling","1 Car, 1 Parked Vehicle",Driver,0,0,0,No Injury,8041,-13609815.3973092,4559862.19513151
12/4/2024 8:14:00 PM,2024-12-04,12:14:00,12,2024,2.0,12,Derby Street & Telegraph Avenue,VC 21804(a): Failure to yield to traffic when entering highway,Right of Way,"2 Car, 1 Fixed Object",Driver,0,1,0,Minor Injury,8042,-13609815.3973092,4559862.19513151
7/28/2022 9:35:00 PM,2022-07-28,14:35:00,7,2022,3.0,14,College Avenue & Webster St,VC 22350: Unsafe speed for prevailing conditions,Speed Laws,2 Car,Driver,0,0,0,Unspecified Injury,8043,-13609135.6378185,4559112.33776262
11/4/2022 2:43:00 AM,2022-11-03,19:43:00,11,2022,3.0,19,College Avenue & Webster St,VC 22106: Unsafe starting or backing of vehicle on highway,"Turning, Starting, Signaling","1 Car, 1 Fixed Object",Driver,0,0,0,No Injury,8044,-13609135.6378185,4559112.33776262
12/6/2020 12:48:00 AM,2020-12-05,16:48:00,12,2020,5.0,16,College Avenue & Webster Street,VC 22517: Opening vehicle door into traffic (Dooring),"Stopping, Standing, Park","1 Bicycle, 1 Car",Object,0,0,0,Unspecified Injury,8045,-13609135.6378185,4559112.33776262
11/16/2020 11:45:00 PM,2020-11-16,15:45:00,11,2020,0.0,15,College Avenue & Webster Street,VC 21802(a): Failure to yield when entering through highway,Right of Way,2 Car,Driver,0,0,0,No Injury,8046,-13609135.6378185,4559112.33776262
8/16/2019 6:30:00 PM,2019-08-16,11:30:00,8,2019,4.0,11,College Avenue & Webster Street,VC 22350: Unsafe speed for prevailing conditions,Speed Laws,2 Car,Driver,0,0,0,Unspecified Injury,8047,-13609135.6378185,4559112.33776262
1/29/2019 5:30:00 AM,2019-01-28,21:30:00,1,2019,0.0,21,College Avenue & Webster Street,VC 23152(a): Driving under the influence of alcohol,"Alcohol, DUI, Drug Offenses","1 Car, 1 Parked Vehicle",Driver,0,0,0,No Injury,8048,-13609135.6378185,4559112.33776262
1/19/2019 7:33:00 PM,2019-01-19,11:33:00,1,2019,5.0,11,College Avenue & Webster Street,VC 21804(a): Failure to yield to traffic when entering highway,Right of Way,"1 Motorcycle, 1 Car",Driver,0,0,0,Unspecified Injury,8049,-13609135.6378185,4559112.33776262
1/10/2019 10:09:00 PM,2019-01-10,14:09:00,1,2019,3.0,14,College Avenue & Webster Street,VC 22107: Unsafe turning or moving of vehicle on roadway,"Turning, Starting, Signaling",1 Parked Vehicle,Driver,0,0,0,No Injury,8050,-13609135.6378185,4559112.33776262
3/5/2018 9:45:00 PM,2018-03-05,13:45:00,3,2018,0.0,13,College Avenue & Webster Avenue,VC 22107: Unsafe turning or moving of vehicle on roadway,"Turning, Starting, Signaling",1 Parked Vehicle,Driver,0,0,0,No Injury,8051,-13609135.6378185,4559112.33776262
9/11/2018 7:12:00 PM,2018-09-11,12:12:00,9,2018,1.0,12,College Avenue & Webster Street,VC 22517: Opening vehicle door into traffic (Dooring),"Stopping, Standing, Park","1 Bicycle, 1 Car",Object,0,0,0,Unspecified Injury,8052,-13609135.6378185,4559112.33776262
10/25/2018 7:23:00 PM,2018-10-25,12:23:00,10,2018,3.0,12,College Avenue & Webster Street,VC 21950(a): Failure to yield to pedestrian in crosswalk,Other,"1 Car, 1 Pedestrian",Driver,0,0,0,Unspecified Injury,8053,-13609135.6378185,4559112.33776262
6/1/2017 12:26:00 AM,2017-05-31,17:26:00,5,2017,2.0,17,College Avenue & Webster Street,VC 22517: Opening vehicle door into traffic (Dooring),"Stopping, Standing, Park","1 Bicycle, 1 Car, 1 Parked Vehicle",Driver,0,0,0,No Injury,8054,-13609135.6378185,4559112.33776262
2/14/2017 3:39:00 AM,2017-02-13,19:39:00,2,2017,0.0,19,College Avenue & Webster Street,VC 22107: Unsafe turning or moving of vehicle on roadway,"Turning, Starting, Signaling","1 Truck, 1 Fixed Object",Driver,0,0,0,No Injury,8055,-13609135.6378185,4559112.33776262
